College,Location,State,Program ,Course / Specialization,Total Fee (INR),Notes
RV University (Mysuru Campus),"Nanjangud, Mysuru",Karnataka,B.Tech,B.Tech AI & ML,"4,00,000",
RV University (Mysuru Campus),"Nanjangud, Mysuru",Karnataka,B.Sc,B.Sc Data Science,"1,60,000",1st yr; 4-year total ~4.90L
RV University (Mysuru Campus),"Nanjangud, Mysuru",Karnataka,BCA,BCA Computer Science / Electronics & Comm,"2,80,000",1st yr
RV University (Mysuru Campus),"Nanjangud, Mysuru",Karnataka,MCA,MCA,"2,10,000",1st yr
RV University (Mysuru Campus),"Nanjangud, Mysuru",Karnataka,BBA,BBA Regular,"1,60,000",1st yr
RV University (Mysuru Campus),"Nanjangud, Mysuru",Karnataka,BBA,BBA - Logistics & SCM / Business Analytics,"1,90,000",1st yr
RV University (Mysuru Campus),"Nanjangud, Mysuru",Karnataka,B.Com,B.Com Regular,"1,35,000",1st yr
RV University (Mysuru Campus),"Nanjangud, Mysuru",Karnataka,B.Com,B.Com ACCA,"1,85,000",1st yr
RV University (Mysuru Campus),"Nanjangud, Mysuru",Karnataka,B.Sc,B.Sc Psychology,"1,85,000",1st yr
RV University (Mysuru Campus),"Nanjangud, Mysuru",Karnataka,B.Sc,B.Sc Chemistry with Polymer & Pharmaceuticals,"1,10,000",1st yr
RV University (Mysuru Campus),"Nanjangud, Mysuru",Karnataka,B.Pharma,Bachelor of Pharmacy,"2,50,000",Annual fee
City College Mangalore,Mangalore,Karnataka,UG Allied Health,BPT - Physiotherapy,"3,75,000",Total 4-year (tuition only; hostel & mess extra)
City College Mangalore,Mangalore,Karnataka,UG Allied Health,B.Sc OT & AT,"2,70,000",Total 3-year tuition
City College Mangalore,Mangalore,Karnataka,UG Allied Health,B.Sc MIT,"3,20,000",Total 3-year tuition
City College Mangalore,Mangalore,Karnataka,UG Allied Health,B.Sc MLT,"2,45,000",Total 3-year tuition
City College Mangalore,Mangalore,Karnataka,UG Nursing,GNM,"1,50,000","Total 3-year tuition; adm. Boys ₹75k, Girls ₹40k extra"
Shantidhama Group of Institutions,"Magadi Road, Bengaluru",Karnataka,UG Nursing,B.Sc Nursing - Girls,"8,95,000",Total 4-year; incl. food & accommodation
Shantidhama Group of Institutions,"Magadi Road, Bengaluru",Karnataka,UG Nursing,B.Sc Nursing - Boys,"9,25,000",
Shantidhama Group of Institutions,"Magadi Road, Bengaluru",Karnataka,UG Nursing,D.GNM,"3,95,000",Total 3-year
Shantidhama Group of Institutions,"Magadi Road, Bengaluru",Karnataka,UG Allied Health,BPT,"5,25,000",Total 4-year
Shantidhama Group of Institutions,"Magadi Road, Bengaluru",Karnataka,UG Allied Health,B.Sc AT-OT (Girls),"4,95,000",Total 3-year
Shantidhama Group of Institutions,"Magadi Road, Bengaluru",Karnataka,UG Allied Health,B.Sc MIT / Optometry / MLT (Girls),"4,80,000",
Shantidhama Group of Institutions,"Magadi Road, Bengaluru",Karnataka,UG Allied Health,B.Sc AT-OT Lateral (Girls),"3,30,000",
Shantidhama Group of Institutions,"Magadi Road, Bengaluru",Karnataka,UG Allied Health,B.Sc MIT / Optometry / MLT Lateral (Girls),"3,80,000",
Shantidhama Group of Institutions,"Magadi Road, Bengaluru",Karnataka,PG Nursing,M.Sc Nursing - MSN (OBG / Paed / Community),"2,20,000",Total 2-year
Shantidhama Group of Institutions,"Magadi Road, Bengaluru",Karnataka,PG Nursing,M.Sc Nursing - MSN (Medical Surgical / Psychiatric),"2,80,000",
Shantidhama Group of Institutions,"Magadi Road, Bengaluru",Karnataka,PG Nursing,PB B.Sc Nursing,"2,25,000",Total 2-year
